ticker,date,close,source,note
GOLD,2025-08-11,20.7849,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9642
GOLD,2025-08-12,21.7664,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9649
GOLD,2025-08-13,22.4547,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9655
GOLD,2025-08-14,22.0888,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9661
GOLD,2025-08-15,22.2932,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9667
GOLD,2025-08-18,22.4787,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9686
GOLD,2025-08-19,22.0926,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9692
GOLD,2025-08-20,21.7631,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9698
GOLD,2025-08-21,21.5956,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9704
GOLD,2025-08-22,23.0041,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9710
GOLD,2025-08-25,22.7799,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9729
GOLD,2025-08-26,22.44,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9735
GOLD,2025-08-27,21.9558,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9741
GOLD,2025-08-28,22.0273,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9747
GOLD,2025-08-29,22.4634,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9753
GOLD,2025-09-02,22.6645,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9778
GOLD,2025-09-03,22.9579,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9784
GOLD,2025-09-04,22.9917,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9790
GOLD,2025-09-05,22.9772,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9797
GOLD,2025-09-08,23.7352,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9815
GOLD,2025-09-09,23.6245,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9821
GOLD,2025-09-10,23.2429,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9827
GOLD,2025-09-11,24.1959,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9834
GOLD,2025-09-12,26.1181,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9840
GOLD,2025-09-15,26.2836,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9858
GOLD,2025-09-16,26.8726,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9864
GOLD,2025-09-17,25.7727,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9871
GOLD,2025-09-18,26.3815,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9877
GOLD,2025-09-19,26.0868,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9883
GOLD,2025-09-22,26.3987,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9901
GOLD,2025-09-23,26.3566,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9907
GOLD,2025-09-24,26.0511,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9914
GOLD,2025-09-25,25.1597,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9920
GOLD,2025-09-26,26.025,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9926
GOLD,2025-09-29,26.2006,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9944
GOLD,2025-09-30,25.326,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9951
GOLD,2025-10-01,25.9882,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9957
GOLD,2025-10-02,25.9161,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9963
GOLD,2025-10-03,26.1773,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9969
GOLD,2025-10-06,25.3121,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9988
GOLD,2025-10-07,25.1507,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9994
GOLD,2025-10-08,26.7895,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0000
GOLD,2025-10-09,26.8454,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0006
GOLD,2025-10-10,26.0641,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0012
GOLD,2025-10-13,27.1386,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0031
GOLD,2025-10-14,27.3626,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0037
GOLD,2025-10-15,27.6165,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0043
GOLD,2025-10-16,29.3637,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0049
GOLD,2025-10-17,27.1756,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0055
GOLD,2025-10-20,28.3059,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0074
GOLD,2025-10-21,26.8951,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0080
GOLD,2025-10-22,26.7727,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0086
GOLD,2025-10-23,27.1365,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0092
GOLD,2025-10-24,27.8486,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0099
GOLD,2025-10-27,27.6408,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0117
GOLD,2025-10-28,27.4087,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0123
GOLD,2025-10-29,27.0267,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0129
GOLD,2025-10-30,26.7341,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0136
GOLD,2025-10-31,26.5208,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0142
GOLD,2025-11-03,26.3393,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0160
GOLD,2025-11-04,24.7349,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0166
GOLD,2025-11-05,24.86,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0173
GOLD,2025-11-06,25.0253,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0179
GOLD,2025-11-07,25.3411,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=1.0185
